condition,mean,sd,CI2.5,CI97.5,repo,comorbidity,Var1,Var2
Osteoporosis,0.11,0.013,0.082,0.13,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Osteoporosis,-0.26,0.011,-0.279,-0.234,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Osteoporosis,0.11,0.013,0.089,0.139,Community,Anxiety : Arthritis,Anxiety,Arthritis
Osteoporosis,0.05,0.012,0.026,0.075,Community,Arthritis : Asthma,Arthritis,Asthma
Osteoporosis,0.17,0.012,0.149,0.198,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Osteoporosis,0.16,0.012,0.138,0.185,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Osteoporosis,0.16,0.013,0.134,0.186,Community,Anxiety : Asthma,Anxiety,Asthma
Psoriasis,0.4,0.011,0.375,0.417,Community,Cardiovascular : Pain,Cardiovascular,Pain
Psoriasis,0.57,0.01,0.548,0.585,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Psoriasis,0.19,0.013,0.168,0.22,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Psoriasis,0.1,0.015,0.067,0.124,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Psoriasis,0.03,0.015,-0.004,0.057,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Psoriasis,0.55,0.01,0.527,0.565,Community,Arthritis : Pain,Arthritis,Pain
Psoriasis,0.37,0.012,0.344,0.39,Community,Anxiety : Pain,Anxiety,Pain
Psoriasis,0.27,0.013,0.247,0.299,Community,Asthma : Pain,Asthma,Pain
Psoriasis,0.18,0.014,0.15,0.204,Community,Acid-related disease : Pain,Acid-related disease,Pain
Psoriasis,0.19,0.013,0.165,0.217,Community,Anxiety : Arthritis,Anxiety,Arthritis
Psoriasis,0.09,0.014,0.061,0.117,Community,Arthritis : Asthma,Arthritis,Asthma
Psoriasis,-0.29,0.014,-0.321,-0.266,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Psoriasis,0.22,0.015,0.192,0.25,Community,Anxiety : Asthma,Anxiety,Asthma
Psoriasis,0.21,0.015,0.184,0.244,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Psoriasis,0.2,0.015,0.171,0.23,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Pulmonary_Disease_Chronic_Obstructive,0.25,0.011,0.225,0.27,Community,Cardiovascular : Pain,Cardiovascular,Pain
Pulmonary_Disease_Chronic_Obstructive,0.01,0.012,-0.016,0.032,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Pulmonary_Disease_Chronic_Obstructive,0.34,0.011,0.316,0.359,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Pulmonary_Disease_Chronic_Obstructive,0.1,0.012,0.08,0.128,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Pulmonary_Disease_Chronic_Obstructive,0.42,0.014,0.393,0.446,Community,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Pulmonary_Disease_Chronic_Obstructive,0.17,0.012,0.152,0.197,Community,Acid-related disease : Pain,Acid-related disease,Pain
Pulmonary_Disease_Chronic_Obstructive,0.43,0.011,0.413,0.455,Community,Arthritis : Pain,Arthritis,Pain
Pulmonary_Disease_Chronic_Obstructive,0.3,0.012,0.281,0.327,Community,Anxiety : Pain,Anxiety,Pain
Pulmonary_Disease_Chronic_Obstructive,0.15,0.015,0.121,0.177,Community,Diabetes : Pain,Diabetes,Pain
Pulmonary_Disease_Chronic_Obstructive,-0.27,0.012,-0.293,-0.246,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Pulmonary_Disease_Chronic_Obstructive,0.15,0.012,0.127,0.174,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Pulmonary_Disease_Chronic_Obstructive,0.04,0.015,0.016,0.072,Community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Pulmonary_Disease_Chronic_Obstructive,0.11,0.012,0.083,0.131,Community,Anxiety : Arthritis,Anxiety,Arthritis
Pulmonary_Disease_Chronic_Obstructive,0.04,0.015,0.009,0.069,Community,Arthritis : Diabetes,Arthritis,Diabetes
Pulmonary_Disease_Chronic_Obstructive,0.06,0.016,0.034,0.094,Community,Anxiety : Diabetes,Anxiety,Diabetes
Restless_legs_syndrome,0.33,0.015,0.298,0.356,Community,Cardiovascular : Pain,Cardiovascular,Pain
Restless_legs_syndrome,0.46,0.013,0.436,0.486,Community,Arthritis : Pain,Arthritis,Pain
Restless_legs_syndrome,0.35,0.015,0.318,0.376,Community,Anxiety : Pain,Anxiety,Pain
Restless_legs_syndrome,0.12,0.016,0.085,0.149,Community,Acid-related disease : Pain,Acid-related disease,Pain
Restless_legs_syndrome,0.26,0.016,0.226,0.289,Community,Asthma : Pain,Asthma,Pain
Restless_legs_syndrome,0.42,0.013,0.391,0.443,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Restless_legs_syndrome,0.11,0.015,0.077,0.137,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Restless_legs_syndrome,0,0.016,-0.03,0.035,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Restless_legs_syndrome,0.1,0.017,0.064,0.128,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Restless_legs_syndrome,0.14,0.015,0.117,0.173,Community,Anxiety : Arthritis,Anxiety,Arthritis
Restless_legs_syndrome,-0.36,0.015,-0.388,-0.33,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Restless_legs_syndrome,0.06,0.016,0.031,0.095,Community,Arthritis : Asthma,Arthritis,Asthma
Restless_legs_syndrome,0.16,0.016,0.133,0.196,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Restless_legs_syndrome,0.23,0.016,0.198,0.261,Community,Anxiety : Asthma,Anxiety,Asthma
Restless_legs_syndrome,0.16,0.017,0.126,0.19,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Rheumatoid_arthritis,0.24,0.014,0.208,0.262,Community,Cardiovascular : Pain,Cardiovascular,Pain
Rheumatoid_arthritis,0.18,0.016,0.146,0.207,Community,Acid-related disease : Pain,Acid-related disease,Pain
Rheumatoid_arthritis,0.21,0.016,0.182,0.242,Community,Asthma : Pain,Asthma,Pain
Rheumatoid_arthritis,0.33,0.015,0.305,0.364,Community,Anxiety : Pain,Anxiety,Pain
Rheumatoid_arthritis,0.25,0.017,0.214,0.28,Community,Osteoporosis : Pain,Osteoporosis,Pain
Rheumatoid_arthritis,0.06,0.015,0.03,0.09,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Rheumatoid_arthritis,0.09,0.015,0.062,0.123,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Rheumatoid_arthritis,0.13,0.015,0.097,0.155,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Rheumatoid_arthritis,0.07,0.017,0.037,0.103,Community,Cardiovascular : Osteoporosis,Cardiovascular,Osteoporosis
Rheumatoid_arthritis,0.15,0.016,0.119,0.182,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Rheumatoid_arthritis,0.14,0.017,0.104,0.169,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Rheumatoid_arthritis,0.2,0.017,0.17,0.235,Community,Acid-related disease : Osteoporosis,Acid-related disease,Osteoporosis
Rheumatoid_arthritis,0.21,0.016,0.183,0.246,Community,Anxiety : Asthma,Anxiety,Asthma
Rheumatoid_arthritis,0.1,0.018,0.066,0.136,Community,Asthma : Osteoporosis,Asthma,Osteoporosis
Rheumatoid_arthritis,0.06,0.018,0.031,0.099,Community,Anxiety : Osteoporosis,Anxiety,Osteoporosis
Diabetes_Mellitus_Type_2,0.2,0.013,0.176,0.228,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Diabetes_Mellitus_Type_2,0.24,0.013,0.215,0.268,Age restricted community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Diabetes_Mellitus_Type_2,0.02,0.015,-0.009,0.049,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Diabetes_Mellitus_Type_2,0.04,0.015,0.013,0.07,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Diabetes_Mellitus_Type_2,0.08,0.015,0.051,0.111,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Diabetes_Mellitus_Type_2,0.45,0.01,0.432,0.472,Age restricted community,Arthritis : Pain,Arthritis,Pain
Diabetes_Mellitus_Type_2,0.16,0.012,0.133,0.179,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Diabetes_Mellitus_Type_2,0.3,0.011,0.273,0.318,Age restricted community,Anxiety : Pain,Anxiety,Pain
Diabetes_Mellitus_Type_2,0.25,0.013,0.223,0.274,Age restricted community,Asthma : Pain,Asthma,Pain
Diabetes_Mellitus_Type_2,-0.28,0.012,-0.305,-0.258,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Diabetes_Mellitus_Type_2,0.12,0.012,0.094,0.142,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Diabetes_Mellitus_Type_2,0.1,0.013,0.075,0.127,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Diabetes_Mellitus_Type_2,0.16,0.013,0.131,0.183,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Diabetes_Mellitus_Type_2,0.14,0.014,0.111,0.165,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Diabetes_Mellitus_Type_2,0.19,0.014,0.165,0.218,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Benign_Prostatic_Hyperplasia,0.29,0.011,0.264,0.308,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Benign_Prostatic_Hyperplasia,0.3,0.012,0.274,0.32,Age restricted community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Benign_Prostatic_Hyperplasia,0.06,0.013,0.036,0.085,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Benign_Prostatic_Hyperplasia,0.06,0.013,0.036,0.088,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Benign_Prostatic_Hyperplasia,0.13,0.014,0.105,0.161,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Benign_Prostatic_Hyperplasia,0.47,0.01,0.449,0.489,Age restricted community,Arthritis : Pain,Arthritis,Pain
Benign_Prostatic_Hyperplasia,0.15,0.012,0.127,0.175,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Benign_Prostatic_Hyperplasia,0.23,0.013,0.209,0.258,Age restricted community,Asthma : Pain,Asthma,Pain
Benign_Prostatic_Hyperplasia,0.34,0.013,0.311,0.362,Age restricted community,Anxiety : Pain,Anxiety,Pain
Benign_Prostatic_Hyperplasia,-0.31,0.012,-0.339,-0.291,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Benign_Prostatic_Hyperplasia,0.05,0.014,0.027,0.08,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Benign_Prostatic_Hyperplasia,0.12,0.014,0.089,0.144,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Benign_Prostatic_Hyperplasia,0.17,0.014,0.139,0.192,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Benign_Prostatic_Hyperplasia,0.17,0.015,0.144,0.201,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Benign_Prostatic_Hyperplasia,0.18,0.015,0.145,0.205,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Hypertension,0.47,0.01,0.447,0.486,Age restricted community,Arthritis : Pain,Arthritis,Pain
Hypertension,0.15,0.012,0.13,0.177,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Hypertension,0.32,0.012,0.297,0.343,Age restricted community,Anxiety : Pain,Anxiety,Pain
Hypertension,0.24,0.013,0.218,0.267,Age restricted community,Asthma : Pain,Asthma,Pain
Hypertension,0.13,0.013,0.107,0.158,Age restricted community,Diabetes : Pain,Diabetes,Pain
Hypertension,-0.29,0.012,-0.312,-0.264,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Hypertension,0.12,0.013,0.092,0.144,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Hypertension,0.07,0.013,0.047,0.099,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Hypertension,-0.03,0.014,-0.062,-0.007,Age restricted community,Arthritis : Diabetes,Arthritis,Diabetes
Hypertension,0.2,0.013,0.172,0.223,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Hypertension,0.15,0.014,0.123,0.177,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Hypertension,0.08,0.015,0.052,0.11,Age restricted community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Hypertension,0.2,0.014,0.175,0.229,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Hypertension,0.09,0.015,0.063,0.122,Age restricted community,Anxiety : Diabetes,Anxiety,Diabetes
Hypertension,0.05,0.016,0.02,0.08,Age restricted community,Asthma : Diabetes,Asthma,Diabetes
Osteoarthritis,0.03,0.012,0.003,0.051,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Osteoarthritis,0.13,0.013,0.101,0.151,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Osteoarthritis,0.12,0.013,0.095,0.147,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Osteoarthritis,0.12,0.016,0.092,0.154,Age restricted community,Cardiovascular : Thyroid disorders,Cardiovascular,Thyroid disorders
Osteoarthritis,0.44,0.015,0.406,0.464,Age restricted community,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Osteoarthritis,0.18,0.013,0.152,0.203,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Osteoarthritis,0.2,0.013,0.172,0.222,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Osteoarthritis,0.09,0.016,0.062,0.126,Age restricted community,Acid-related disease : Thyroid disorders,Acid-related disease,Thyroid disorders
Osteoarthritis,0.11,0.016,0.075,0.137,Age restricted community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Osteoarthritis,0.2,0.013,0.171,0.223,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Osteoarthritis,0.07,0.017,0.036,0.103,Age restricted community,Anxiety : Thyroid disorders,Anxiety,Thyroid disorders
Osteoarthritis,0.12,0.017,0.084,0.149,Age restricted community,Anxiety : Diabetes,Anxiety,Diabetes
Osteoarthritis,0.05,0.017,0.02,0.087,Age restricted community,Asthma : Thyroid disorders,Asthma,Thyroid disorders
Osteoarthritis,0.1,0.017,0.063,0.127,Age restricted community,Asthma : Diabetes,Asthma,Diabetes
Osteoarthritis,0.12,0.02,0.076,0.157,Age restricted community,Diabetes : Thyroid disorders,Diabetes,Thyroid disorders
Osteoporosis,0.3,0.011,0.279,0.32,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Osteoporosis,0.45,0.01,0.43,0.469,Age restricted community,Arthritis : Pain,Arthritis,Pain
Osteoporosis,0.18,0.011,0.159,0.204,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Osteoporosis,0.32,0.012,0.298,0.344,Age restricted community,Anxiety : Pain,Anxiety,Pain
Osteoporosis,0.24,0.012,0.214,0.261,Age restricted community,Asthma : Pain,Asthma,Pain
Osteoporosis,0.38,0.01,0.362,0.404,Age restricted community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Osteoporosis,0.02,0.012,-0.004,0.043,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Osteoporosis,0.1,0.012,0.075,0.121,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Osteoporosis,0.11,0.012,0.086,0.134,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Osteoporosis,-0.26,0.012,-0.284,-0.237,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Osteoporosis,0.12,0.013,0.09,0.14,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Osteoporosis,0.04,0.012,0.012,0.059,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Osteoporosis,0.18,0.012,0.156,0.203,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Osteoporosis,0.19,0.013,0.162,0.212,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Osteoporosis,0.18,0.013,0.154,0.203,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Pulmonary_Disease_Chronic_Obstructive,0.25,0.011,0.231,0.274,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
